Date,Close,Open,High,Low,Volume,Type
2017-10-05,1348.3,1348.3,1348.3,1348.3,40.0,Gold
2017-10-06,1350.0,1350.0,1350.0,1350.0,50.0,Gold
2017-10-09,1360.4,1362.0,1362.0,1362.0,0.0,Gold
2017-10-10,1369.4,1374.7,1374.7,1374.7,0.0,Gold
2017-10-11,1364.5,1364.5,1364.5,1364.5,20.0,Gold
2017-10-12,1372.3,1372.3,1372.3,1372.3,10.0,Gold
2017-10-13,1380.4,1372.0,1372.0,1372.0,0.0,Gold
2017-10-16,1379.7,1382.0,1382.0,1382.0,10.0,Gold
2017-10-17,1362.5,1362.5,1362.5,1362.5,570.0,Gold
2017-10-18,1359.3,1359.3,1359.3,1359.3,160.0,Gold
2017-10-19,1365.9,1365.9,1365.9,1365.9,130.0,Gold
2017-10-20,1356.2,1356.2,1356.2,1356.2,300.0,Gold
2017-10-23,1356.9,1356.9,1356.9,1356.9,120.0,Gold
2017-10-24,1354.2,1354.2,1354.2,1354.2,110.0,Gold
2017-10-25,1355.5,1355.5,1355.5,1355.5,110.0,Gold
2017-10-26,1346.5,1346.5,1346.5,1346.5,40.0,Gold
2017-10-27,1349.1,1351.7,1351.7,1351.7,0.0,Gold
2017-10-30,1354.9,1354.9,1354.9,1354.9,220.0,Gold
2017-10-31,1347.7,1347.7,1347.7,1347.7,240.0,Gold
2017-11-01,1354.6,1354.6,1354.6,1354.6,80.0,Gold
2017-11-02,1355.4,1355.4,1355.4,1355.4,70.0,Gold
2017-11-03,1346.9,1346.9,1346.9,1346.9,80.0,Gold
2017-11-06,1359.7,1359.7,1359.7,1359.7,130.0,Gold
2017-11-07,1353.9,1353.9,1353.9,1353.9,10.0,Gold
2017-11-08,1362.3,1362.3,1362.3,1362.3,20.0,Gold
2017-11-09,1366.8,1366.8,1366.8,1366.8,20.0,Gold
2017-11-10,1354.5,1354.5,1354.5,1354.5,100.0,Gold
2017-11-13,1360.4,1360.4,1360.4,1360.4,20.0,Gold
2017-11-14,1364.2,1364.2,1364.2,1364.2,0.0,Gold
2017-11-15,1358.7,1358.7,1358.7,1358.7,10.0,Gold
2017-11-16,1359.4,1359.4,1359.4,1359.4,40.0,Gold
2017-11-17,1378.0,1378.0,1378.0,1378.0,0.0,Gold
2017-11-20,1357.6,1357.6,1357.6,1357.6,0.0,Gold
2017-11-21,1364.8,1364.8,1364.8,1364.8,20.0,Gold
2017-11-22,1376.4,1376.4,1376.4,1376.4,30.0,Gold
2017-11-23,1291.66,1291.19,1293.87,1287.65,0.0,Gold
2017-11-24,1371.6,1371.6,1371.6,1371.6,10.0,Gold
2017-11-27,1378.7,1378.7,1378.7,1378.7,0.0,Gold
2017-11-28,1379.0,1379.0,1379.0,1379.0,4060.0,Gold
2017-11-29,1366.4,1382.0,1382.0,1382.0,10.0,Gold
2017-11-30,1357.3,1357.3,1357.3,1357.3,3050.0,Gold
2017-12-01,1362.8,1362.8,1362.8,1362.8,820.0,Gold
2017-12-04,1358.0,1358.0,1358.0,1358.0,850.0,Gold
2017-12-05,1345.1,1345.1,1345.1,1345.1,1500.0,Gold
2017-12-06,1346.2,1346.2,1346.2,1346.2,370.0,Gold
2017-12-07,1333.0,1327.6,1327.6,1327.6,10.0,Gold
2017-12-08,1328.1,1330.5,1330.5,1330.5,0.0,Gold
2017-12-11,1326.8,1326.8,1326.8,1326.8,150.0,Gold
2017-12-12,1321.9,1321.9,1321.9,1321.9,60.0,Gold
2017-12-13,1328.7,1328.7,1328.7,1328.7,350.0,Gold
2017-12-14,1337.2,1342.0,1342.0,1334.0,0.0,Gold
2017-12-15,1337.4,1337.4,1337.4,1337.4,580.0,Gold
2017-12-18,1345.6,1345.6,1345.6,1345.6,50.0,Gold
2017-12-19,1344.8,1344.8,1344.8,1344.8,330.0,Gold
2017-12-20,1350.4,1350.4,1350.4,1350.4,60.0,Gold
2017-12-21,1351.3,1351.3,1351.3,1351.3,230.0,Gold
2017-12-22,1359.8,1353.7,1354.3,1353.7,0.0,Gold
2017-12-25,1277.9,1278.9,1279.5,1277.9,0.0,Gold
2017-12-26,1368.5,1368.5,1368.5,1368.5,80.0,Gold
2017-12-27,1372.3,1372.3,1372.3,1372.3,70.0,Gold
2017-12-28,1379.4,1372.1,1372.1,1372.0,10.0,Gold
2017-12-29,1391.9,1391.9,1391.9,1391.9,70.0,Gold
2018-01-01,1308.7,1305.8,1309.7,1304.6,0.0,Gold
2018-01-02,1400.1,1400.1,1400.1,1400.1,0.0,Gold
