Date,Close,Open,High,Low,Volume
2017-04-30,49.0,49.2,49.47,48.66,454254.67
2017-05-01,48.84,49.17,49.32,48.59,364386.0
2017-05-02,47.66,48.78,49.28,47.35,702375.0
2017-05-03,47.82,48.12,48.23,47.3,691319.0
2017-05-04,45.52,47.6,47.75,45.29,943959.0
2017-05-05,46.22,45.51,46.68,43.76,1021610.0
2017-05-06,46.29,45.79,46.78,44.42,942758.33
2017-05-07,46.36,46.07,46.88,45.07,863906.67
2017-05-08,46.43,46.35,46.98,45.73,785055.0
2017-05-09,45.88,46.49,46.78,45.53,701944.0
2017-05-10,47.33,46.18,47.78,46.01,819796.0
2017-05-11,47.83,47.39,48.22,47.34,661783.0
2017-05-12,47.84,47.81,48.07,47.35,537490.0
2017-05-13,48.18,47.82,48.6,47.48,587377.67
2017-05-14,48.51,47.84,49.13,47.62,637265.33
2017-05-15,48.85,47.85,49.66,47.75,687153.0
2017-05-16,48.66,48.82,49.38,48.17,589212.0
2017-05-17,49.07,48.23,49.5,48.03,650107.0
2017-05-18,49.35,48.93,49.6,48.05,242754.0
2017-05-19,50.33,49.28,50.53,49.28,146452.0
2017-05-20,50.46,49.72,50.71,49.67,285738.0
2017-05-21,50.6,50.16,50.88,50.05,425024.0
2017-05-22,50.73,50.6,51.06,50.44,564310.0
2017-05-23,51.47,51.04,51.79,50.57,584139.0
2017-05-24,51.36,51.44,51.88,51.03,736341.0
2017-05-25,48.9,51.25,52.0,48.45,1147389.0
2017-05-26,49.8,48.75,49.94,48.18,763920.0
2017-05-27,49.76,49.04,50.02,48.39,738811.5
2017-05-28,49.73,49.34,50.11,48.6,713703.0
2017-05-29,49.69,49.64,50.19,48.82,688594.5
2017-05-30,49.66,49.93,50.28,49.03,663486.0
2017-05-31,48.32,49.65,49.71,47.73,779144.0
2017-06-01,48.36,48.63,49.17,47.9,774478.0
2017-06-02,47.66,48.04,48.19,46.74,802662.0
2017-06-03,47.57,47.93,48.27,46.78,771841.0
2017-06-04,47.49,47.82,48.34,46.82,741020.0
2017-06-05,47.4,47.71,48.42,46.86,710199.0
2017-06-06,48.19,47.4,48.4,46.94,825056.0
2017-06-07,45.72,47.98,48.23,45.65,1182327.0
2017-06-08,45.64,45.85,46.18,45.2,927695.0
2017-06-09,45.83,45.71,46.18,45.27,735933.0
2017-06-10,45.91,45.74,46.36,45.4,712877.0
2017-06-11,46.0,45.77,46.53,45.53,689821.0
2017-06-12,46.08,45.8,46.71,45.66,666765.0
