Date,Close,Type
2015-11-04,2102.31,SP500
2015-11-05,2099.93,SP500
2015-11-06,2099.2,SP500
2015-11-09,2078.58,SP500
2015-11-10,2081.72,SP500
2015-11-11,2075.0,SP500
2015-11-12,2045.97,SP500
2015-11-13,2023.04,SP500
2015-11-16,2053.19,SP500
2015-11-17,2050.44,SP500
2015-11-18,2083.58,SP500
2015-11-19,2081.24,SP500
2015-11-20,2089.17,SP500
2015-11-23,2086.59,SP500
2015-11-24,2089.14,SP500
2015-11-25,2088.87,SP500
2015-11-27,2090.11,SP500
2015-11-30,2080.41,SP500
2015-12-01,2102.63,SP500
2015-12-02,2079.51,SP500
2015-12-03,2049.62,SP500
2015-12-04,2091.69,SP500
2015-12-07,2077.07,SP500
2015-12-08,2063.59,SP500
2015-12-09,2047.62,SP500
2015-12-10,2052.23,SP500
2015-12-11,2012.37,SP500
2015-12-14,2021.94,SP500
2015-12-15,2043.41,SP500
2015-12-16,2073.07,SP500
2015-12-17,2041.89,SP500
2015-12-18,2005.55,SP500
2015-12-21,2021.15,SP500
2015-12-22,2038.97,SP500
2015-12-23,2064.29,SP500
2015-12-24,2060.99,SP500
2015-12-28,2056.5,SP500
2015-12-29,2078.36,SP500
2015-12-30,2063.36,SP500
2015-12-31,2043.94,SP500
2016-01-04,2012.66,SP500
2016-01-05,2016.71,SP500
2016-01-06,1990.26,SP500
2016-01-07,1943.09,SP500
2016-01-08,1922.03,SP500
2016-01-11,1923.67,SP500
2016-01-12,1938.68,SP500
2016-01-13,1890.28,SP500
2016-01-14,1921.84,SP500
2016-01-15,1880.33,SP500
2016-01-19,1881.33,SP500
2016-01-20,1859.33,SP500
2016-01-21,1868.99,SP500
2016-01-22,1906.9,SP500
2016-01-25,1877.08,SP500
2016-01-26,1903.63,SP500
2016-01-27,1882.95,SP500
2016-01-28,1893.36,SP500
2016-01-29,1940.24,SP500
2016-02-01,1939.38,SP500
2016-02-02,1903.03,SP500
2016-02-03,1912.53,SP500
2016-02-04,1915.45,SP500
2016-02-05,1880.05,SP500
2016-02-08,1853.44,SP500
2016-02-09,1852.21,SP500
2016-02-10,1851.86,SP500
2016-02-11,1829.08,SP500
2016-02-12,1864.78,SP500
2016-02-16,1895.58,SP500
2016-02-17,1926.82,SP500
2016-02-18,1917.83,SP500
2016-02-19,1917.78,SP500
2016-02-22,1945.5,SP500
2016-02-23,1921.27,SP500
2016-02-24,1929.8,SP500
2016-02-25,1951.7,SP500
2016-02-26,1948.05,SP500
2016-02-29,1932.23,SP500
2016-03-01,1978.35,SP500
2016-03-02,1986.45,SP500
2016-03-03,1993.4,SP500
2016-03-04,1999.99,SP500
2016-03-07,2001.76,SP500
2016-03-08,1979.26,SP500
2016-03-09,1989.26,SP500
2016-03-10,1989.57,SP500
2016-03-11,2022.19,SP500
2016-03-14,2019.64,SP500
2016-03-15,2015.93,SP500
2016-03-16,2027.22,SP500
2016-03-17,2040.59,SP500
2016-03-18,2049.58,SP500
2016-03-21,2051.6,SP500
2016-03-22,2049.8,SP500
2016-03-23,2036.71,SP500
2016-03-24,2035.94,SP500
2016-03-28,2037.05,SP500
