Date,Close,Open,High,Low,Volume,n-transactions,interest,Type
2015-12-04,358.44,366.79,370.8,355.43,5828.13,164774.0,3.0,BTC
2015-12-05,369.96,358.44,371.18,356.88,6369.02,169753.33,3.0,BTC
2015-12-06,394.86,369.96,396.64,369.41,6909.91,174732.67,3.0,BTC
2015-12-07,391.62,394.86,402.3,383.67,7450.8,179712.0,3.0,BTC
2015-12-08,395.59,391.62,399.84,387.78,6706.2,179712.0,3.0,BTC
2015-12-09,421.42,395.59,421.83,389.58,14296.19,220323.0,3.0,BTC
2015-12-10,415.08,421.42,423.91,405.31,6848.2,220323.0,3.0,BTC
2015-12-11,421.81,415.08,422.77,411.28,13066.6,220323.0,3.0,BTC
2015-12-12,467.83,421.81,470.88,420.68,62224.73,214929.0,3.0,BTC
2015-12-13,435.09,467.83,467.89,408.91,111382.86,209535.0,3.0,BTC
2015-12-14,437.02,435.09,442.47,422.06,160540.99,204141.0,3.0,BTC
2015-12-15,453.68,437.02,457.46,436.74,10524.31,223998.0,3.0,BTC
2015-12-16,445.8,453.68,465.65,445.8,35969.03,223998.0,3.0,BTC
2015-12-17,451.1,445.8,462.52,440.2,6187.21,223998.0,3.0,BTC
2015-12-18,456.42,451.1,458.46,451.02,4930.71,213847.0,3.0,BTC
2015-12-19,464.22,456.42,466.46,454.52,5567.15,219046.0,3.0,BTC
2015-12-20,460.24,464.22,465.85,453.31,6203.59,224245.0,3.0,BTC
2015-12-21,435.64,460.24,461.01,425.03,6840.03,229444.0,3.0,BTC
2015-12-22,438.28,435.64,445.53,432.99,6466.68,229444.0,3.0,BTC
2015-12-23,437.99,438.28,443.22,433.78,7455.28,229444.0,3.0,BTC
2015-12-24,456.57,437.99,456.86,437.7,7020.69,210228.0,3.0,BTC
2015-12-25,455.74,456.57,459.84,452.26,6981.57,197738.75,3.0,BTC
2015-12-26,447.61,455.74,458.67,445.52,6942.45,185249.5,3.0,BTC
2015-12-27,419.34,447.61,448.52,406.39,6903.33,172760.25,3.0,BTC
2015-12-28,427.82,419.34,429.09,414.19,6864.21,160271.0,3.0,BTC
2015-12-29,422.74,427.82,428.73,417.23,6013.97,160271.0,3.0,BTC
2015-12-30,431.03,422.74,434.22,419.16,5066.16,176447.0,3.0,BTC
2015-12-31,424.96,431.03,433.37,421.19,6396.83,176447.0,3.0,BTC
2016-01-01,432.36,424.96,433.03,417.7,6256.69,169594.75,3.0,BTC
2016-01-02,433.77,432.36,436.19,427.32,6116.54,162742.5,3.0,BTC
2016-01-03,431.98,433.77,435.74,429.77,5976.4,155890.25,3.0,BTC
2016-01-04,431.69,431.98,432.42,424.15,5836.26,149038.0,3.0,BTC
2016-01-05,433.73,431.69,435.15,430.6,5120.61,182371.0,3.0,BTC
2016-01-06,427.16,433.73,433.94,426.17,5369.1,182371.0,3.0,BTC
2016-01-07,441.02,427.16,443.53,426.6,12531.7,182371.0,3.0,BTC
2016-01-08,457.17,441.02,463.95,439.45,9564.11,181407.0,3.0,BTC
2016-01-09,452.37,457.17,457.58,447.39,8233.63,184670.0,3.0,BTC
2016-01-10,445.33,452.37,452.73,444.22,6903.16,187933.0,3.0,BTC
2016-01-11,450.31,445.33,451.44,441.19,5572.68,191196.0,3.0,BTC
2016-01-12,446.61,450.31,450.54,443.26,5739.9,191196.0,3.0,BTC
2016-01-13,431.16,446.61,447.73,422.1,9754.5,191196.0,3.0,BTC
2016-01-14,431.41,431.16,433.67,424.14,5499.3,183182.0,3.0,BTC
2016-01-15,416.29,431.41,432.25,413.98,27319.74,183182.0,3.0,BTC
2016-01-16,372.74,416.29,417.84,358.77,22497.34,188418.5,3.0,BTC
2016-01-17,383.14,372.74,390.8,353.28,17674.95,193655.0,3.0,BTC
2016-01-18,380.82,383.14,387.23,378.26,12852.56,198891.5,3.0,BTC
2016-01-19,382.74,380.82,387.48,374.48,8030.16,204128.0,3.0,BTC
2016-01-20,378.78,382.74,386.64,374.22,13499.26,209071.0,3.0,BTC
2016-01-21,417.44,378.78,424.65,378.01,9143.04,209071.0,3.0,BTC
2016-01-22,403.27,417.44,420.34,402.98,13321.19,209071.0,3.0,BTC
2016-01-23,388.22,403.27,403.68,374.14,11008.79,202847.33,3.0,BTC
2016-01-24,388.54,388.22,394.5,381.19,8696.4,196623.67,3.0,BTC
2016-01-25,397.88,388.54,405.8,387.46,6384.0,190400.0,3.0,BTC
2016-01-26,390.72,397.88,401.0,386.52,6856.0,230523.0,3.0,BTC
2016-01-27,392.39,390.72,397.57,388.03,6264.62,230523.0,3.0,BTC
2016-01-28,381.36,392.39,396.57,377.1,8864.29,230523.0,3.0,BTC
2016-01-29,369.13,381.36,384.5,363.64,11940.43,224394.0,3.0,BTC
2016-01-30,376.95,369.13,384.49,368.7,10660.79,223728.67,3.0,BTC
2016-01-31,378.17,376.95,380.7,375.43,9381.14,223063.33,3.0,BTC
2016-02-01,372.16,378.17,379.53,364.29,8101.5,222398.0,3.0,BTC
2016-02-02,372.45,372.16,378.52,369.02,6889.93,222398.0,3.0,BTC
2016-02-03,372.76,372.45,374.83,369.26,6937.95,222398.0,3.0,BTC
2016-02-04,370.43,372.76,373.79,366.32,8968.44,200661.0,3.0,BTC
2016-02-05,386.95,370.43,391.27,370.41,7303.25,200661.0,3.0,BTC
2016-02-06,377.89,386.95,390.19,376.94,7228.85,204504.0,3.0,BTC
2016-02-07,376.44,377.89,378.58,370.6,7154.45,208347.0,3.0,BTC
2016-02-08,376.92,376.44,379.56,372.88,7080.05,212190.0,3.0,BTC
2016-02-09,372.43,376.92,378.69,370.77,8438.16,212190.0,3.0,BTC
2016-02-10,374.76,372.43,376.29,370.95,9666.55,235527.0,3.0,BTC
2016-02-11,379.19,374.76,383.56,374.65,10074.12,235527.0,3.0,BTC
2016-02-12,378.58,379.19,379.99,373.22,6215.18,235527.0,3.0,BTC
2016-02-13,388.87,378.58,388.87,378.58,5992.36,230630.25,3.0,BTC
2016-02-14,397.23,388.87,398.06,387.49,5769.55,225733.5,3.0,BTC
2016-02-15,405.62,397.23,410.24,395.05,5546.74,220836.75,3.0,BTC
2016-02-16,401.66,405.62,407.0,395.48,5323.92,215940.0,3.0,BTC
2016-02-17,407.02,401.66,408.12,399.79,8502.56,215940.0,3.0,BTC
2016-02-18,417.49,407.02,421.02,407.02,6479.33,215940.0,3.0,BTC
2016-02-19,421.96,417.49,424.98,416.5,5578.81,217436.0,3.0,BTC
2016-02-20,422.05,421.96,422.31,415.68,5363.41,224189.33,3.0,BTC
2016-02-21,439.61,422.05,443.18,421.58,5148.0,230942.67,3.0,BTC
2016-02-22,436.14,439.61,448.29,427.0,4932.6,237696.0,3.0,BTC
2016-02-23,438.74,436.14,440.7,433.18,9076.31,237696.0,3.0,BTC
2016-02-24,419.9,438.74,439.18,415.61,6934.44,237696.0,3.0,BTC
2016-02-25,422.62,419.9,427.03,411.12,6142.27,216290.0,3.0,BTC
2016-02-26,421.24,422.62,424.82,418.19,6217.74,216290.0,3.0,BTC
2016-02-27,433.4,421.24,434.77,420.02,6656.86,222005.33,3.0,BTC
2016-02-28,425.5,433.4,433.68,422.07,7095.98,227720.67,3.0,BTC
2016-02-29,438.28,425.5,439.05,424.36,7535.1,233436.0,3.0,BTC
2016-03-01,436.43,438.28,441.66,433.79,7349.19,233436.0,3.0,BTC
2016-03-02,434.0,436.43,436.43,428.5,6890.75,270206.0,3.0,BTC
2016-03-03,419.25,434.0,434.31,417.05,12228.78,270206.0,3.0,BTC
2016-03-04,421.6,419.25,423.52,415.64,8492.44,270206.0,3.0,BTC
2016-03-05,407.72,421.6,422.57,401.66,8806.36,258468.0,3.0,BTC
2016-03-06,397.88,407.72,408.95,388.96,9120.29,246730.0,3.0,BTC
2016-03-07,407.28,397.88,409.72,395.77,9434.21,234992.0,3.0,BTC
2016-03-08,414.21,407.28,415.51,405.13,7850.91,200298.0,3.0,BTC
2016-03-09,410.74,414.21,415.09,408.48,5410.66,200298.0,3.0,BTC
2016-03-10,411.67,410.74,413.78,409.59,7970.87,200298.0,3.0,BTC
2016-03-11,416.71,411.67,416.97,411.12,7040.51,189816.0,3.0,BTC
2016-03-12,415.04,416.71,421.93,414.41,6876.75,190324.33,3.0,BTC
2016-03-13,411.64,415.04,415.96,407.3,6712.98,190832.67,3.0,BTC
2016-03-14,414.21,411.64,416.02,411.43,6549.22,191341.0,3.0,BTC
2016-03-15,416.03,414.21,416.44,412.91,7532.52,191341.0,3.0,BTC
2016-03-16,414.17,416.03,417.12,412.6,6308.13,191341.0,3.0,BTC
2016-03-17,417.14,414.17,417.21,413.8,6120.06,208319.0,3.0,BTC
2016-03-18,417.15,417.14,419.51,416.74,8382.0,208319.0,3.0,BTC
2016-03-19,407.47,417.15,417.66,403.62,7616.29,198260.33,3.0,BTC
2016-03-20,409.24,407.47,411.36,403.34,6850.58,188201.67,3.0,BTC
2016-03-21,407.5,409.24,412.43,407.13,6084.87,178143.0,3.0,BTC
2016-03-22,415.12,407.5,415.14,406.93,6117.22,178143.0,3.0,BTC
2016-03-23,417.32,415.12,417.72,415.12,5342.24,186808.0,3.0,BTC
2016-03-24,415.84,417.32,418.55,415.66,4794.87,186808.0,3.0,BTC
2016-03-25,414.76,415.84,416.81,412.84,4969.16,179868.25,3.0,BTC
2016-03-26,416.85,414.76,417.32,413.92,5143.44,172928.5,3.0,BTC
2016-03-27,416.23,416.85,417.07,414.84,5317.73,165988.75,3.0,BTC
2016-03-28,424.3,416.23,427.0,416.23,5492.02,159049.0,3.0,BTC
2016-03-29,423.6,424.3,425.04,421.45,7317.48,197409.0,3.0,BTC
2016-03-30,414.61,423.6,423.85,407.88,5765.16,197409.0,3.0,BTC
2016-03-31,414.46,414.61,415.62,409.19,5344.55,197409.0,3.0,BTC
2016-04-01,416.01,414.46,416.94,413.38,5212.94,211922.0,3.0,BTC
2016-04-02,418.78,416.01,420.9,414.09,5234.47,210924.33,3.0,BTC
2016-04-03,418.94,418.78,419.83,418.47,5256.01,209926.67,3.0,BTC
2016-04-04,418.59,418.94,419.61,417.2,5277.54,208929.0,3.0,BTC
2016-04-05,422.04,418.59,422.2,417.41,5604.98,208929.0,3.0,BTC
2016-04-06,422.29,422.04,423.24,420.43,5243.72,208929.0,3.0,BTC
2016-04-07,420.55,422.29,422.65,420.25,4917.13,218463.0,3.0,BTC
2016-04-08,421.62,420.55,422.01,418.75,6506.86,218463.0,3.0,BTC
2016-04-09,415.75,421.62,423.56,413.16,6007.59,207960.0,3.0,BTC
2016-04-10,418.08,415.75,418.56,415.5,5508.31,197457.0,3.0,BTC
2016-04-11,421.19,418.08,421.87,418.05,5009.04,186954.0,3.0,BTC
2016-04-12,426.38,421.19,426.38,419.38,6812.33,186954.0,3.0,BTC
2016-04-13,426.84,426.38,427.79,424.38,5787.14,223506.0,3.0,BTC
2016-04-14,425.49,426.84,426.91,422.92,4617.53,223506.0,3.0,BTC
2016-04-15,426.28,425.49,426.54,423.1,4175.37,223506.0,3.0,BTC
2016-04-16,429.78,426.28,429.99,424.71,2830.18,209672.0,3.0,BTC
2016-04-17,430.45,429.78,433.0,429.51,1484.99,195838.0,3.0,BTC
2016-04-18,429.32,430.45,430.64,426.27,139.8,182004.0,3.0,BTC
2016-04-19,428.52,429.32,430.08,427.17,6212.91,226511.0,3.0,BTC
2016-04-20,435.93,428.52,437.11,428.08,7114.19,226511.0,3.0,BTC
2016-04-21,443.76,435.93,445.29,435.79,7531.59,226511.0,3.0,BTC
