Date,BTC_Close,BTC_Volume,BTC_transactions,BTC_interesst,gold_Close,gold_Volume,gold_Chg%,oil_Close,oil_Volume,VIX_Close,SP500_Close index
2015-06-22,244.9588,5446.03,96654.0,2,1266.1,30.0,-0.013300000000000001,59.68,255306.0,12.74,2122.85
2015-06-23,247.1273,5335.17,96654.0,2,1258.8,60.0,-0.005699999999999999,61.009998,336224.0,12.11,2124.2
2015-06-24,243.371,5316.52,113093.0,2,1255.0,260.0,-0.003,60.27,312985.0,13.26,2108.58
2015-06-25,240.9204,5700.06,113093.0,2,1254.3,100.0,-0.0006,59.700001,222341.0,14.01,2102.31
2015-06-26,242.31912,6548.17,113093.0,2,1257.1,30.0,0.0022,59.630001,231957.0,14.02,2101.49
2015-06-29,249.42725,10217.24,106004.0,2,1262.0,170.0,0.0038,58.330002,286035.0,18.85,2057.64
2015-06-30,258.38549,11626.26,155869.0,2,1254.8,220.0,-0.005600000000000001,59.470001,282475.0,18.23,2063.11
2015-07-01,261.71749,8150.38,155869.0,3,1252.5,0.0,-0.0018,56.959999,373405.0,16.09,2077.42
2015-07-02,259.62937,6288.44,155869.0,3,1245.5,320.0,-0.0055000000000000005,56.93,297050.0,16.79,2076.78
2015-07-06,267.60762,9928.97,174070.0,3,1254.6,630.0,0.08800000000000001,52.529999,540608.0,17.01,2068.76
2015-07-07,270.07587,7114.39,174070.0,3,1233.5,470.0,-0.0166,52.330002,527267.0,16.09,2081.34
2015-07-08,264.356,7744.93,174070.0,3,1242.6,70.0,0.0073,51.650002,434752.0,19.66,2046.68
2015-07-09,267.943,6928.7,191163.0,3,1239.1,70.0,-0.0028000000000000004,52.779999,382334.0,19.97,2051.31
2015-07-10,269.24925,15760.0,191163.0,3,1240.6,0.0,0.0012,52.740002,349075.0,16.83,2076.62
2015-07-13,304.9905,13000.28,208685.0,3,1155.2,10.0,-0.0013,52.200001,359477.0,13.9,2099.6
2015-07-14,290.93137,7147.48,208685.0,3,1236.4,40.0,-0.0021,53.040001,422756.0,13.37,2108.95
2015-07-15,288.48787,7261.97,115570.0,3,1230.3,20.0,-0.0049,51.41,334563.0,13.23,2107.4
2015-07-16,287.55762,8771.75,115570.0,3,1227.2,10.0,-0.0025,50.91,319167.0,12.11,2124.29
2015-07-17,276.97924,6840.84,115570.0,3,1214.7,120.0,-0.0101,50.889999,203485.0,11.95,2126.64
2015-07-20,274.28387,5328.9,130695.0,3,1189.5,190.0,-0.020499999999999997,50.150002,102597.0,12.25,2128.28
2015-07-21,279.45925,5033.72,133785.0,3,1183.5,120.0,-0.005,50.360001,254321.0,12.22,2119.21
2015-07-22,274.87242,4611.39,133785.0,3,1171.6,50.0,-0.009899999999999999,49.189999,347986.0,12.12,2114.15
2015-07-23,276.2095,5347.51,133785.0,3,1174.1,60.0,0.0021,48.450001,316060.0,12.64,2102.15
2015-07-24,276.24491,7203.81,109918.0,3,1164.0,50.0,-0.0085,48.139999,278233.0,13.74,2079.65
2015-07-27,291.20091,6418.82,115226.0,3,1174.6,20.0,0.009000000000000001,47.389999,273614.0,15.6,2067.64
2015-07-28,293.15058,5707.1,115226.0,3,1174.6,30.0,0.0,47.98,338107.0,13.44,2093.25
2015-07-29,292.99425,5211.42,115226.0,3,1171.5,10.0,-0.0026,48.790001,366893.0,12.5,2108.57
2015-07-30,288.61658,5218.19,123577.0,3,1167.4,49300.0,-0.0034999999999999996,48.52,247662.0,12.13,2108.63
2015-07-31,286.74491,5615.32,123577.0,3,1167.1,5700.0,-0.0003,47.119999,334474.0,12.12,2103.84
2015-08-03,279.48591,4624.02,103600.0,3,1160.8,2420.0,-0.0053,45.169998,371085.0,12.56,2098.04
2015-08-04,283.49091,5556.91,103600.0,3,1162.7,1140.0,0.0016,45.740002,285786.0,13.0,2093.32
2015-08-05,284.24366,5847.36,133758.0,3,1161.1,1210.0,-0.0014000000000000002,45.150002,367326.0,12.51,2099.84
2015-08-06,280.9375,5000.88,133758.0,3,1165.6,270.0,0.0038,44.66,360977.0,13.77,2083.56
2015-08-07,275.92866,5192.8,133758.0,3,1169.8,610.0,0.0036,43.869999,400070.0,13.39,2077.57
2015-08-10,265.0825,5324.47,101512.0,3,1179.8,900.0,0.0084,44.959999,491433.0,12.23,2104.18
2015-08-11,264.87516,5878.03,114741.0,3,1181.7,0.0,0.0016,43.080002,538005.0,13.71,2084.07
2015-08-12,270.22325,6217.22,114741.0,3,1197.0,800.0,0.0128,43.299999,492271.0,13.61,2086.05
2015-08-13,264.14299,5434.23,114741.0,3,1189.1,440.0,-0.006500000000000001,42.23,420146.0,13.49,2083.39
2015-08-14,262.01758,6897.74,111255.0,3,1186.3,910.0,-0.0023,42.5,317211.0,12.83,2091.54
2015-08-17,258.0065,6761.14,115049.0,3,1191.9,10.0,0.004699999999999999,41.869999,314275.0,13.02,2102.44
2015-08-18,256.44841,8204.81,115049.0,3,1190.3,480.0,-0.0013,42.619999,200185.0,13.79,2096.92
2015-08-19,230.38424,16696.31,115049.0,3,1201.1,350.0,0.009000000000000001,40.799999,107578.0,15.25,2079.61
2015-08-20,232.06483,8940.0,118230.0,3,1226.2,410.0,0.0206,41.139999,380433.0,19.14,2035.73
2015-08-21,234.56375,7878.14,118230.0,3,1230.8,260.0,0.0037,40.450001,377181.0,28.03,1970.89
2015-08-24,227.23233,16138.49,94529.0,3,1222.9,300.0,-0.0063,38.240002,468366.0,40.74,1893.21
2015-08-25,203.18133,20002.92,94529.0,3,1207.7,220.0,-0.0123,39.310001,375650.0,36.02,1867.61
2015-08-26,219.81583,9739.46,122852.0,3,1193.0,120.0,-0.012,38.599998,368722.0,30.32,1940.51
2015-08-27,224.53608,7938.43,122852.0,3,1191.2,130.0,-0.0015,42.560001,533682.0,26.1,1987.66
2015-08-28,224.18875,9005.75,122852.0,3,1202.4,280.0,0.009300000000000001,45.220001,666328.0,26.05,1988.87
2015-08-31,227.18083,6705.52,107489.0,3,1200.9,190.0,-0.0012,49.200001,757503.0,28.43,1972.18
2015-09-01,229.02966,8594.57,130410.0,2,1205.3,380.0,0.0036,45.41,713418.0,31.4,1913.85
2015-09-02,226.28841,7477.0,130410.0,2,1198.4,200.0,-0.005600000000000001,46.25,689301.0,26.09,1948.86
2015-09-03,228.35299,6712.57,130410.0,2,1187.5,120.0,-0.009000000000000001,46.75,539450.0,25.61,1951.13
2015-09-04,227.14741,7020.27,103973.0,2,1184.5,50.0,-0.0025,46.049999,385631.0,27.8,1921.22
2015-09-08,242.01891,8264.99,125467.0,2,1183.9,140.0,0.07139999999999999,45.939999,508815.0,24.9,1969.41
2015-09-09,244.31383,6800.15,125467.0,2,1164.7,250.0,-0.016,44.150002,422735.0,26.23,1942.04
2015-09-10,237.99466,5822.01,124951.0,2,1171.9,60.0,0.0060999999999999995,45.919998,498992.0,24.37,1952.29
2015-09-11,240.56366,5807.8,124951.0,2,1165.9,80.0,-0.0051,44.630001,395838.0,23.2,1961.05
2015-09-14,229.15808,7961.8,146048.0,2,1169.7,20.0,0.0032,44.0,326269.0,24.25,1953.03
