Date,BTC_Close,BTC_Open,BTC_High,BTC_Low,BTC_Volume,BTC_transactions,BTC_interesst,gold_Open,gold_Close,gold_High,gold_Low,gold_Volume,gold_Chg%,oil_Open,oil_Close,oil_High,oil_Low,oil_Volume,VIX_Open,VIX_Close,VIX_High,VIX_Low,SP500_Close index
2019/10/3,8273.464018,8333.710296,8388.015862,8177.694601,7550.73,337244,12,1536.8,1530.1,1551.8,1535.2,450,0.0029,52.470001,52.450001,52.91,50.990002,642466,20.11,19.12,21.44,19.03,2910.63
2019/10/4,8203.843833,8273.457419,8412.650047,8060.325317,7620.06,337222,12,1541.3,1529.4,1541.3,1530.2,70,-0.0004,52.290001,52.810001,53.349998,52.040001,541104,19.42,17.04,19.97,16.97,2952.01
2019/10/7,7853.693305,8138.833489,8171.568254,7802.464851,9969.38,328803,12,1538.9,1521.1,1538.9,1522.2,160,-0.0053,52.689999,52.75,54.060001,52.59,549019,18.27,17.86,18.52,16.44,2938.79
2019/10/8,8236.208379,7850.684576,8304.140139,7777.631571,5808.84,328803,12,1524.2,1520.7,1540,1522.6,430,-0.0004,52.810001,52.630001,53.27,51.810001,658324,17.61,20.28,20.38,17.42,2893.06
2019/10/9,8201.637818,8236.205875,8316.990673,8113.111805,13865.37,328803,12,1539.7,1529.7,1543,1535,430,0.006,52.57,52.59,53.740002,52.310001,632666,19.94,18.64,20,17.77,2919.4
2019/10/10,8572.380812,8173.838803,8691.072691,8117.91224,7892.41,345048,12,1548,1517.9,1548,1526,130,-0.0074,52.689999,53.549999,53.970001,51.380001,613944,19.28,17.57,19.8,17.56,2938.13
2019/10/11,8582.144518,8572.382301,8654.382776,8435.18651,11975.39,345048,12,1533.7,1505.4,1534.6,1508,1040,-0.0078,53.880001,54.700001,54.93,53.639999,467643,17.35,15.58,17.44,15.11,2970.27
2019/10/14,8282.177326,8309.172913,8468.97364,8167.264904,4401.82,279487,12,1529,1514.4,1530,1524.4,30,0.0061,54.900002,53.59,54.900002,52.77,467643,15.66,14.57,16.5,14.51,2966.15
2019/10/15,8337.818999,8282.181596,8385.55341,8214.318868,7919.56,279487,12,1522.9,1500.4,1524.5,1513,230,-0.0092,53.509998,52.810001,53.790001,52.389999,511249,13.94,13.54,14.43,13.39,2995.68
2019/10/17,8003.820395,8166.344773,8184.386436,7918.275881,4909.27,338473,12,1519.9,1515.1,1527.6,1519.9,210,0.0029,52.990002,53.93,54.16,52.619999,418422,13.79,13.79,14.18,13.31,2997.95
2019/10/18,8058.058081,8003.819261,8120.121106,7937.852166,6816.64,338473,12,1526.1,1510.4,1526.1,1519.5,160,-0.0031,54.09,53.779999,54.619999,53.349998,174477,14.2,14.25,15.16,13.78,2986.2
2019/10/21,8200.318763,7943.352412,8306.004901,7884.518625,6117.88,304736,12,1524.9,1504.6,1524.9,1515,110,-0.0037,53.709999,53.310001,54.029999,52.709999,95979,14.24,14,14.63,14,3006.72
2019/10/22,8200.246099,8233.799468,8346.556497,8152.237887,5797.49,341464,12,1517.3,1503.9,1519,1515,10,-0.0005,53.389999,54.16,54.619999,53.099998,506573,13.99,14.46,14.61,13.7,2995.99
2019/10/23,8073.409544,8200.244382,8309.665328,8054.948065,16883.87,341464,12,1522,1512.2,1526.1,1522,30,0.0055,54.299999,55.970001,56.07,53.619999,620202,14.83,14.01,15.12,14.01,3004.52
2019/10/24,7420.415836,8027.293815,8054.994888,7307.391946,7846.3,341464,12,1524.3,1521.3,1534.7,1522,280,0.0059,55.900002,56.23,56.509998,55.41,480764,13.98,13.71,14.34,13.4,3010.29
2019/10/25,7460.617416,7420.414034,7503.599764,7347.630865,23523.09,328598,12,1537.5,1522.2,1549.9,1535,70,0.0008,56.07,56.66,56.740002,55.599998,445020,13.53,12.65,13.79,12.62,3022.55
2019/10/28,9578.367556,9259.521873,9813.443885,9103.737134,16202.53,309611,12,1535.7,1512.8,1536.2,1523.5,160,-0.0061,56.650002,55.810001,56.919998,55.580002,437020,13.01,13.11,13.14,12.66,3039.42
2019/10/29,9458.22336,9578.364387,9930.974021,9272.656652,11914.92,309611,12,1524.2,1507.5,1524.2,1515.5,220,-0.0034,55.799999,55.540001,55.91,54.610001,521457,13.16,13.2,13.52,13.07,3036.89
2019/10/30,9455.724693,9228.074502,9551.778726,9125.778457,9482.25,309611,12,1520.8,1513.6,1526.5,1513.2,1900,0.0039,55.529999,55.060001,55.73,54.419998,659328,13.23,12.33,13.77,12.27,3046.77
2019/10/31,9225.995479,9455.728198,9468.963245,9004.132304,7983.57,293779,12,1527,1531.3,1545,1527,170,0.0115,54.900002,54.18,55.59,53.709999,677419,12.21,13.22,13.95,12.19,3037.56
2019/11/1,9131.41063,9225.997769,9425.44994,8954.89964,7594.02,293779,11,1542.1,1528.4,1545,1538,200,-0.0017,54.150002,56.200001,56.330002,54.07,538117,12.99,12.3,13.12,12.25,3066.91
2019/11/4,9202.415451,9290.899794,9362.633137,9074.382879,7784.61,294367,11,1544.8,1528.4,1544.8,1541,830,0.0002,56.41,56.540001,57.43,55.830002,580350,12.68,12.83,13.13,12.44,3078.27
2019/11/5,9369.628081,9203.826007,9526.165195,9125.861531,7370.45,294367,11,1535,1500.9,1535,1513,1770,-0.0176,56.560001,57.23,57.5,56.299999,435319,12.85,13.1,13.28,12.25,3074.62
2019/11/6,9326.599624,9404.38087,9466.070961,9173.044686,6804.27,314698,11,1516.7,1510.5,1525.4,1516.1,690,0.0062,57.259998,56.349998,57.849998,56.110001,623258,13.18,12.62,13.39,12.6,3076.78
2019/11/7,9335.752402,9326.592531,9439.215735,9254.732115,5750.11,314698,11,1520.1,1483.6,1520.1,1495.1,1320,-0.0172,56.349998,57.150002,57.880001,56.27,678165,12.59,12.73,12.89,12.26,3085.18
2019/11/8,9226.485821,9331.215796,9364.590814,9088.107628,11993.34,314698,11,1500.5,1480,1503,1488.8,350,-0.0009,57.080002,57.240002,57.48,55.759998,636941,12.98,12.07,13.05,12,3093.08
2019/11/11,9081.186878,8798.036067,9123.338511,8742.737626,6583.21,306163,11,1494,1474.2,1494,1480.1,730,-0.0055,57.400002,56.860001,57.400002,56.25,498981,13.15,12.69,13.49,12.66,3087.01
2019/11/12,8711.534339,9081.177733,9096.026278,8613.892395,5998.48,301382,11,1487.8,1470.7,1488.5,1480,930,-0.0026,56.889999,56.799999,57.549999,56.540001,586568,12.64,12.68,13.1,12.36,3091.84
2019/11/13,8760.892718,8711.536153,8856.381556,8564.937933,4486.28,301382,11,1489.9,1480.4,1498.1,1489.9,740,0.0065,56.790001,57.119999,57.529999,56.200001,547635,12.91,13,13.9,12.88,3094.04
2019/11/14,8749.520591,8760.888546,8837.921252,8703.63545,5518.64,301382,11,1495.1,1490.5,1504.7,1494.8,840,0.0068,57.389999,56.77,57.790001,56.630001,516832,13.16,13.05,13.81,12.93,3096.63
2019/11/15,8656.970922,8758.546642,8785.054199,8562.374593,10124.29,325145,11,1496.3,1485.7,1499.9,1495.9,70,-0.0033,56.91,57.720001,57.970001,56.43,375993,12.95,12.05,12.97,11.92,3120.46
2019/11/18,8537.339652,8469.261015,8624.956305,8369.224963,8968.58,304671,11,1498.4,1489.2,1502.8,1488.8,820,0.0022,57.880001,57.049999,58.09,56.549999,159328,12.39,12.46,13.1,12.32,3122.03
2019/11/19,8205.806366,8500.644603,8500.646489,8035.885907,7242.41,304671,11,1501.3,1491.7,1506.1,1497,1030,0.0016,56.900002,55.209999,57.110001,55.040001,121214,12.33,12.86,13.01,12.16,3120.18
2019/11/20,8118.488536,8205.810043,8205.810043,7988.922628,5263.35,304671,11,1505.5,1491.5,1509.2,1498,690,-0.0002,55.16,57.110001,57.25,54.759998,674891,13.42,12.78,14.17,12.61,3108.46
2019/11/21,8074.843174,8119.484444,8215.619589,8029.097727,14309.17,323954,11,1505.5,1481.1,1505.7,1494,490,-0.007,57,58.580002,58.669998,56.599998,593533,13.35,13.13,13.86,12.49,3103.54
2019/11/22,7612.740574,8074.840561,8118.113996,7420.281322,31414.77,323954,11,1497.7,1481.2,1502.3,1492,700,0.0003,58.310001,57.77,58.740002,57.5,508244,12.82,12.34,13.25,12.33,3110.29
2019/11/25,7041.732936,7303.414265,7338.698677,6920.631497,26339.93,267368,11,1490.9,1474.7,1492,1485.2,940,-0.0042,57.919998,58.009998,58.150002,57.209999,420642,12.51,11.87,12.59,11.73,3133.64
2019/11/26,7211.861809,6894.651354,7368.147389,6524.552859,11809.08,267368,11,1484.3,1477.8,1492,1481,310,0.0019,57.919998,58.41,58.560001,57.759998,443816,11.88,11.54,12.04,11.42,3140.52
2019/11/27,7141.069449,7211.870983,7336.30101,7012.057702,18089.43,317597,11,1489.2,1471.1,1490.2,1483.9,220,-0.0044,58.27,58.110001,58.68,57.509998,454256,11.55,11.75,11.79,11.44,3153.63
2019/12/2,7381.963008,7542.245344,7564.940079,7238.322233,6890.2,277458,10,1494,1479.4,1495.3,1485,170,-0.0023,55.470001,55.959999,56.669998,55.419998,616423,12.69,14.91,15.27,12.55,3113.87
2019/12/3,7333.43293,7381.962005,7440.615736,7162.492125,6168.78,336512,10,1491.1,1494.8,1510.3,1491.1,450,0.0104,55.959999,56.099998,56.799999,55.349998,560554,14.68,15.96,17.99,14.61,3093.2
2019/12/4,7315.367765,7315.439203,7407.410775,7238.730592,14751.65,336512,10,1509.1,1490.6,1513.5,1502.5,460,-0.0027,56.43,58.43,58.66,56.279999,760541,16.38,14.8,16.4,14.12,3112.76
2019/12/5,7213.733762,7315.369274,7767.908725,7089.141289,9110.78,336512,10,1505,1493.6,1508,1503,230,0.002,58.360001,58.43,59.119999,58.099998,649461,14.46,14.52,15.37,14.17,3117.43
2019/12/6,7398.78705,7213.743416,7488.137772,7155.119946,8964.77,315386,10,1503,1475.8,1506,1488,440,-0.0117,58.32,59.200001,59.849998,57.700001,679609,14.37,13.62,14.47,13.19,3145.91
2019/12/9,7550.2392,7532.123513,7573.156018,7387.154016,9490.09,313629,10,1493.2,1475.6,1493.2,1489.4,300,-0.0001,59.110001,59.02,59.25,58.23,511561,14.25,15.86,16.07,12.25,3135.96
2019/12/10,7333.096043,7550.238815,7652.742606,7285.227768,7008.73,313629,10,1490.6,1478.8,1496,1489.7,140,0.0023,58.919998,59.240002,59.52,58.52,566822,15.8,15.68,16.9,14.93,3132.52
2019/12/11,7239.762575,7333.095889,7394.504676,7161.527291,5816.41,313629,10,1500,1485.8,1507,1497.5,140,0.0046,59.060001,58.759998,59.220001,58.110001,589650,15.57,14.99,15.97,14.98,3141.63
2019/12/12,7198.066677,7240.078227,7269.474391,7131.644054,8153.47,311795,10,1511.2,1483.1,1514,1494.1,170,-0.0017,58.880001,59.18,59.720001,58.75,530851,14.94,13.94,15.55,13.6,3168.57
2019/12/13,7190.272369,7203.956606,7282.336143,7081.880221,6038.75,311795,10,1493,1492.3,1507.9,1493,470,0.0063,59.360001,60.07,60.48,59.27,512288,13.18,12.63,14.35,12.54,3168.8
2019/12/16,7112.731476,7087.024958,7198.32384,7007.558814,11416.24,263441,10,1505.4,1491.6,1509.4,1503.9,420,-0.0001,59.869999,60.209999,60.34,59.709999,347395,12.47,12.14,12.53,11.71,3191.45
2019/12/17,6883.496394,7112.504977,7139.580243,6828.479448,13218.82,263441,10,1505.8,1491.9,1510,1505,210,0.0001,60.23,60.939999,61.060001,60.029999,163744,12.23,12.29,12.47,11.9,3192.52
2019/12/18,6584.028843,6884.661554,6933.741179,6565.009645,21114.56,314249,10,1506.4,1489.9,1508.5,1501.7,1560,-0.0017,60.549999,60.93,61.18,60.32,131071,12.24,12.58,12.7,11.93,3191.14
2019/12/19,7424.0154,6584.030424,7424.06403,6427.959386,10425.96,314249,10,1505.4,1495.5,1510.4,1503.5,570,0.0038,60.860001,61.220001,61.470001,60.790001,426341,12.55,12.5,12.78,12.43,3205.37
2019/12/20,7147.568324,7285.122044,7367.158856,7043.162249,6019.75,314249,10,1508.1,1492,1510,1505.2,440,-0.0024,61.110001,60.439999,61.200001,60.02,552517,12.55,12.51,12.61,12.04,3221.22
2019/12/23,7236.986205,7286.33631,7356.640519,7083.734726,14577.19,311118,10,1510.7,1499.9,1514.9,1510.7,390,0.0053,60.41,60.52,60.77,60.099998,314711,12.81,12.61,12.9,12.41,3224.01
2019/12/26,7212.809395,7235.623582,7277.804111,7120.21395,7488.78,290436,10,1528.9,1525.7,1543,1528.4,1020,0.0241,61.200001,61.68,61.830002,61.060001,265091,12.74,12.65,12.75,11.72,3239.91
2019/12/27,7183.706536,7212.808361,7427.47228,7105.723864,8398.22,322204,10,1540.7,1529.7,1545,1540,290,0.0027,61.73,61.720001,61.970001,61.240002,351899,12.61,13.43,13.72,11.89,3240.02
2019/12/30,7385.464848,7315.151548,7520.637034,7272.593791,7343.62,324497,10,1543.9,1530.3,1545.5,1540.1,460,0.0006,61.709999,61.68,62.34,61.09,427149,13.74,14.82,15.14,13.44,3221.29
2019/12/31,7251.276794,7379.157881,7396.603322,7202.130766,6755.97,324497,10,1546.7,1535.1,1555,1546.4,670,0.0034,61.68,61.060001,61.880001,60.630001,494535,14.84,13.78,15.39,13.75,3230.78
2020/1/2,7174.744012,7179.957689,7237.014866,7152.992402,7645.56,295567,13,1548.7,1540.1,1559.5,1548.2,1250,0.0225,61.599998,61.18,61.599998,60.639999,486873,13.46,12.47,13.72,12.42,3257.85
2020/1/3,6955.48758,7174.712357,7190.188749,6914.857474,13605.13,295567,13,1561.6,1564.5,1583.6,1561.6,5120,0.0157,61.18,63.049999,64.089996,61.130001,885861,15.01,14.02,16.2,13.13,3234.85
2020/1/6,7347.433264,7337.421391,7487.333871,7316.76337,11426.17,287779,13,1590.2,1580.9,1615.3,1590,2800,0.0104,63.709999,63.27,64.720001,62.639999,724236,15.45,13.85,16.39,13.54,3246.28
2020/1/7,7713.860754,7351.57889,7749.648613,7339.702523,19215.66,287779,13,1594.5,1586.3,1605.5,1586.5,2570,0.0033,62.91,62.700001,63.150002,62.110001,582649,13.84,13.79,14.46,13.39,3237.18
2020/1/8,8039.603701,7714.908484,8192.158877,7708.885351,23470.24,318019,13,1603.3,1572.3,1637.9,1581.5,3320,-0.0089,62.84,59.610001,65.650002,59.150002,1205710,15.16,13.45,15.24,12.83,3253.05
2020/1/9,8067.606369,8046.802943,8463.183418,7871.035499,9300.17,318019,13,1583,1566.4,1587.5,1570.2,1430,-0.0035,59.990002,59.560001,60.310001,58.66,750933,12.95,12.54,13.24,12.53,3274.7
2020/1/10,7808.701364,8046.111529,8046.283882,7755.401227,13367.2,318019,13,1577.6,1572.1,1589.6,1574.1,2730,0.0035,59.610001,59.040001,59.779999,58.849998,596186,12.42,12.56,12.87,12.09,3265.35
2020/1/13,8149.313717,8080.229614,8188.385802,7959.533522,6678.03,309070,13,1586.8,1562.7,1586.8,1574.9,2700,-0.006,59.040001,58.080002,59.27,57.91,584002,12.84,12.32,13.09,12.32,3288.13
2020/1/14,8116.961008,8150.807336,8191.187715,8035.31553,26326.67,346953,13,1573.2,1556.5,1573.9,1563.4,1760,-0.004,58.029999,58.23,58.720001,57.720001,507714,12.72,12.39,13.82,12.05,3283.15
2020/1/15,8735.142439,8110.511235,8848.921995,8108.954039,14653.58,346953,13,1575.9,1565.6,1582.2,1573.4,2100,0.0058,58.200001,57.810001,58.360001,57.360001,433169,12.79,12.42,12.83,11.95,3289.29
